Timestamp,MMSI,Latitude,Longitude,SOG,COG,Heading,Length,Width,Lat_change,Long_change,Ship_type
2019-10-28 11:21:00,36336,35.69025000,-73.83093000,12.70000000,51.00000000,49.00000000,231.00000000,39.00000000,0.00178137,0.00274261,Cargo
2019-10-28 11:22:00,36336,35.69221041,-73.82788902,12.68891388,51.04897809,49.00000000,231.00000000,39.00000000,0.00196041,0.00304098,Cargo
2019-10-28 11:23:00,36336,35.69433337,-73.82458946,12.64387133,50.57092907,49.00000000,231.00000000,39.00000000,0.00212296,0.00329956,Cargo
2019-10-28 11:24:00,36336,35.69652000,-73.82127000,12.60000000,50.00000000,49.00000000,231.00000000,39.00000000,0.00218663,0.00331946,Cargo
2019-10-28 11:25:00,36336,35.69875382,-73.81797041,12.56315450,49.40854872,49.00000000,231.00000000,39.00000000,0.00223382,0.00329959,Cargo
2019-10-28 11:26:00,36336,35.70102783,-73.81469060,12.53216360,48.77834417,49.00000000,231.00000000,39.00000000,0.00227401,0.00327981,Cargo
2019-10-28 11:27:00,36336,35.70330000,-73.81143000,12.50000000,48.00000000,49.00000000,231.00000000,39.00000000,0.00227217,0.00326060,Cargo
2019-10-28 11:28:00,36336,35.70556333,-73.80818852,12.46549249,47.05528514,49.00000000,231.00000000,39.00000000,0.00226333,0.00324148,Cargo
2019-10-28 11:29:00,36336,35.70781781,-73.80496617,12.42864105,45.94419960,49.00000000,231.00000000,39.00000000,0.00225449,0.00322236,Cargo
2019-10-28 11:30:00,36336,35.71007033,-73.80176158,12.39328477,44.80223462,49.00000000,231.00000000,39.00000000,0.00225252,0.00320459,Cargo
2019-10-28 11:31:00,36336,35.71236210,-73.79856664,12.38245807,44.44233767,49.00000000,231.00000000,39.00000000,0.00229177,0.00319494,Cargo
2019-10-28 11:32:00,36336,35.71470000,-73.79538000,12.40000000,45.00000000,49.00000000,231.00000000,39.00000000,0.00233790,0.00318664,Cargo
2019-10-28 11:33:00,36336,35.71708403,-73.79220166,12.44591058,46.47522161,49.00000000,231.00000000,39.00000000,0.00238403,0.00317834,Cargo
2019-10-28 11:34:00,36336,35.71947000,-73.78903000,12.50000000,48.00000000,49.00000000,231.00000000,39.00000000,0.00238597,0.00317166,Cargo
2019-10-28 11:35:00,36336,35.72181374,-73.78586342,12.54207848,48.70633267,49.00000000,231.00000000,39.00000000,0.00234374,0.00316658,Cargo
2019-10-28 11:36:00,36336,35.72411525,-73.78270191,12.57214602,48.59421962,49.00000000,231.00000000,39.00000000,0.00230151,0.00316150,Cargo
2019-10-28 11:37:00,36336,35.72641413,-73.77950945,12.59114054,48.18499676,49.00000000,231.00000000,39.00000000,0.00229888,0.00319246,Cargo
2019-10-28 11:38:00,36336,35.72875000,-73.77625000,12.60000000,48.00000000,49.00000000,231.00000000,39.00000000,0.00233587,0.00325945,Cargo
2019-10-28 11:39:00,36336,35.73112000,-73.77293000,12.60000000,48.00000000,49.00000000,231.00000000,39.00000000,0.00237000,0.00332000,Cargo
2019-10-28 11:40:00,36336,35.73350703,-73.76958811,12.59879424,47.94962072,49.00000000,231.00000000,39.00000000,0.00238703,0.00334189,Cargo
2019-10-28 11:41:00,36336,35.73590823,-73.76623077,12.59765833,47.80963283,49.00000000,231.00000000,39.00000000,0.00240120,0.00335734,Cargo
2019-10-28 11:42:00,36336,35.73832361,-73.76285797,12.59659227,47.58003633,49.00000000,231.00000000,39.00000000,0.00241538,0.00337279,Cargo
2019-10-28 11:43:00,36336,35.74075317,-73.75946973,12.59559606,47.26083121,49.00000000,231.00000000,39.00000000,0.00242956,0.00338824,Cargo
2019-10-28 11:44:00,36336,35.74319690,-73.75606604,12.59466970,46.85201747,49.00000000,231.00000000,39.00000000,0.00244373,0.00340369,Cargo
2019-10-28 11:45:00,36336,35.74565481,-73.75264690,12.59381320,46.35359513,49.00000000,231.00000000,39.00000000,0.00245791,0.00341914,Cargo
2019-10-28 11:46:00,36336,35.74812690,-73.74921230,12.59302655,45.76556416,49.00000000,231.00000000,39.00000000,0.00247209,0.00343459,Cargo
2019-10-28 11:47:00,36336,35.75061316,-73.74576226,12.59230975,45.08792458,49.00000000,231.00000000,39.00000000,0.00248626,0.00345004,Cargo
2019-10-28 11:48:00,36336,35.75310057,-73.74231652,12.59183327,44.47003736,49.00000000,231.00000000,39.00000000,0.00248741,0.00344574,Cargo
2019-10-28 11:49:00,36336,35.75557611,-73.73889484,12.59176758,44.06126347,49.00000000,231.00000000,39.00000000,0.00247554,0.00342168,Cargo
2019-10-28 11:50:00,36336,35.75803978,-73.73549722,12.59211268,43.86160290,49.00000000,231.00000000,39.00000000,0.00246367,0.00339762,Cargo
2019-10-28 11:51:00,36336,35.76049157,-73.73212366,12.59286856,43.87105566,49.00000000,231.00000000,39.00000000,0.00245179,0.00337356,Cargo
2019-10-28 11:52:00,36336,35.76293149,-73.72877416,12.59403524,44.08962175,49.00000000,231.00000000,39.00000000,0.00243992,0.00334950,Cargo
2019-10-28 11:53:00,36336,35.76535953,-73.72544871,12.59561270,44.51730117,49.00000000,231.00000000,39.00000000,0.00242804,0.00332544,Cargo
2019-10-28 11:54:00,36336,35.76777570,-73.72214733,12.59760096,45.15409392,49.00000000,231.00000000,39.00000000,0.00241617,0.00330139,Cargo
2019-10-28 11:55:00,36336,35.77018000,-73.71887000,12.60000000,46.00000000,49.00000000,231.00000000,39.00000000,0.00240430,0.00327733,Cargo
2019-10-28 11:56:00,36336,35.77257242,-73.71561673,12.60280983,47.05501941,49.00000000,231.00000000,39.00000000,0.00239242,0.00325327,Cargo
2019-10-28 11:57:00,36336,35.77480000,-73.71257000,12.60000000,48.00000000,49.00000000,231.00000000,39.00000000,0.00222758,0.00304673,Cargo
2019-10-28 11:58:00,36336,35.77670977,-73.70991228,12.58554006,48.51578964,49.00000000,231.00000000,39.00000000,0.00190977,0.00265772,Cargo
2019-10-28 11:59:00,36336,35.77830172,-73.70764358,12.55943000,48.60238834,49.00000000,231.00000000,39.00000000,0.00159195,0.00226870,Cargo
2019-10-28 12:00:00,36336,35.77970423,-73.70559424,12.52922187,48.32831454,49.00000000,231.00000000,39.00000000,0.00140251,0.00204935,Cargo
2019-10-28 12:01:00,36336,35.78168753,-73.70274626,12.54022786,48.10467894,49.00000000,231.00000000,39.00000000,0.00198330,0.00284797,Cargo
2019-10-28 12:02:00,36336,35.78438000,-73.69893000,12.60000000,48.00000000,49.00000000,231.00000000,39.00000000,0.00269247,0.00381626,Cargo
2019-10-28 12:03:00,36336,35.78767000,-73.69430000,12.70000000,48.00000000,49.00000000,231.00000000,39.00000000,0.00329000,0.00463000,Cargo
2019-10-28 12:04:00,36336,35.79088775,-73.68978357,12.78899805,48.01901263,49.00000000,231.00000000,39.00000000,0.00321775,0.00451643,Cargo
2019-10-28 12:05:00,36336,35.79392161,-73.68553526,12.85845585,48.04276018,49.00000000,231.00000000,39.00000000,0.00303386,0.00424831,Cargo
2019-10-28 12:06:00,36336,35.79677158,-73.68155507,12.90837341,48.07124263,49.00000000,231.00000000,39.00000000,0.00284998,0.00398019,Cargo
2019-10-28 12:07:00,36336,35.79943767,-73.67784300,12.93875071,48.10446000,49.00000000,231.00000000,39.00000000,0.00266609,0.00371207,Cargo
2019-10-28 12:08:00,36336,35.80191988,-73.67439905,12.94958777,48.14241229,49.00000000,231.00000000,39.00000000,0.00248221,0.00344395,Cargo
2019-10-28 12:09:00,36336,35.80421820,-73.67122322,12.94088458,48.18509948,49.00000000,231.00000000,39.00000000,0.00229832,0.00317583,Cargo
2019-10-28 12:10:00,36336,35.80633264,-73.66831551,12.91264114,48.23252159,49.00000000,231.00000000,39.00000000,0.00211444,0.00290771,Cargo
2019-10-28 12:11:00,36336,35.80836391,-73.66552410,12.87775928,48.27045303,49.00000000,231.00000000,39.00000000,0.00203127,0.00279140,Cargo
2019-10-28 12:12:00,36336,35.81041272,-73.66269719,12.84914085,48.28466819,49.00000000,231.00000000,39.00000000,0.00204881,0.00282691,Cargo
